Date	Work	Feeling
18587	2	2
18588	1	2
18589	1	1
18590	0	0
18591	2	0
18592	3	1
18593	2	2
18594	1	2
18595	1	2
18596	3	2
18597	1	1
18598	3	1
18599	2	1
18600	1	2
18601	2	2
18602	1	2
18603	3	2
18604	2	1
18605	3	2
18606	1	1
18607	2	2
18608	1	2
18609	2	1
18610	2	2
18611	2	2
18612	3	2
18614	3	2
18615	0	2
18616	0	2
